"V1","V2"
"ARF5","Nucleus"
"ESRRA","Nucleus"
"FKBP4","Nucleus"
"USP28","Nucleus"
"HSPB6","Nucleus"
"PDK4","Nucleus"
"USH1C","Nucleus"
"RALA","Nucleus"
"BAIAP2L1","Nucleus"
"DVL2","Nucleus"
"RPAP3","Nucleus"
"IFRD1","Nucleus"
"HOXA11","Nucleus"
"COPZ2","Nucleus"
"TRAPPC6A","Nucleus"
"WDR54","Nucleus"
"SPATA20","Nucleus"
"RPUSD1","Nucleus"
"TSR3","Nucleus"
"OSBPL7","Nucleus"
"YBX2","Nucleus"
"KRT33A","Nucleus"
"LRRC23","Nucleus"
"TFAP2D","Nucleus"
"CRY1","Nucleus"
"CAMK1G","Nucleus"
"CD74","Nucleus"
"DYRK4","Nucleus"
"FAM76A","Nucleus"
"MGST1","Nucleus"
"RANBP9","Nucleus"
"PLEKHG6","Nucleus"
"SS18L2","Nucleus"
"QPCTL","Nucleus"
"HIVEP2","Nucleus"
"PPP5C","Nucleus"
"NME1","Nucleus"
"UBR7","Nucleus"
"MAP4K5","Nucleus"
"INMT","Nucleus"
"ERCC1","Nucleus"
"COX15","Nucleus"
"RALBP1","Nucleus"
"PSD","Nucleus"
"SNAI2","Nucleus"
"GABRA1","Nucleus"
"RTFDC1","Nucleus"
"AKAP11","Nucleus"
"B4GALT7","Nucleus"
"FAM13B","Nucleus"
"GABARAPL2","Nucleus"
"FAM136A","Nucleus"
"TTC17","Nucleus"
"HOXC8","Nucleus"
"BOD1L1","Nucleus"
"TARBP1","Nucleus"
"RTN4R","Nucleus"
"PSMA4","Nucleus"
"FAM65C","Nucleus"
"LCP2","Nucleus"
"MRPS10","Nucleus"
"THAP3","Nucleus"
"UTS2","Nucleus"
"RFC2","Nucleus"
"PPP1R3F","Nucleus"
"KIAA2022","Nucleus"
"ARHGEF5","Nucleus"
"NFE2L3","Nucleus"
"TNIP3","Nucleus"
"HEBP2","Nucleus"
"PKP2","Nucleus"
"FHL1","Nucleus"
"ADCK2","Nucleus"
"INPP4A","Nucleus"
"STYK1","Nucleus"
"CREB3L3","Nucleus"
"HDAC7","Nucleus"
"MRPS35","Nucleus"
"APPBP2","Nucleus"
"ISOC2","Nucleus"
"GSC2","Nucleus"
"ZFY","Nucleus"
"KCNQ1","Nucleus"
"OTUD5","Nucleus"
"GPKOW","Nucleus"
"AQR","Nucleus"
"ST6GALNAC1","Nucleus"
"MBD3","Nucleus"
"LMCD1","Nucleus"
"PSMC4","Nucleus"
"FNDC8","Nucleus"
"CAMKK1","Nucleus"
"ACAP1","Nucleus"
"ANO8","Nucleus"
"KDM4B","Nucleus"
"CTTNBP2","Nucleus"
"ACTL6B","Nucleus"
"CIC","Nucleus"
"KIF22","Nucleus"
"YTHDC2","Nucleus"
"MEF2B","Nucleus"
"FOXJ2","Nucleus"
"GOLGA5","Nucleus"
"PPP2R5B","Nucleus"
"PYGM","Nucleus"
"PIGB","Nucleus"
"PDZD4","Nucleus"
"FSTL3","Nucleus"
"VASH1","Nucleus"
"KRT14","Nucleus"
"SPP2","Nucleus"
"HSD17B10","Nucleus"
"REXO1","Nucleus"
"MKRN2","Nucleus"
"GPATCH1","Nucleus"
"KEAP1","Nucleus"
"RDH8","Nucleus"
"TNS1","Nucleus"
"ISOC1","Nucleus"
"TRO","Nucleus"
"MNT","Nucleus"
"ASNS","Nucleus"
"PTPN18","Nucleus"
"STK10","Nucleus"
"ALPK1","Nucleus"
"TBX21","Nucleus"
"MAP2K5","Nucleus"
"C12orf5","Nucleus"
"FGF20","Nucleus"
"FAM107B","Nucleus"
"CDK13","Nucleus"
"CRYBG3","Nucleus"
"FAR2","Nucleus"
"ROPN1","Nucleus"
"NDUFB4","Nucleus"
"HEATR6","Nucleus"
"CLIC5","Nucleus"
"TMEM131","Nucleus"
"ARPP21","Nucleus"
"ACTR6","Nucleus"
"DMRT3","Nucleus"
"UHRF1BP1","Nucleus"
"KIAA0141","Nucleus"
"STRADB","Nucleus"
"C4orf6","Nucleus"
"ZNF324","Nucleus"
"ZNF416","Nucleus"
"ZNF8","Nucleus"
"RRN3","Nucleus"
"DIMT1","Nucleus"
"EIF2AK1","Nucleus"
"NME8","Nucleus"
"HBQ1","Nucleus"
"RBM22","Nucleus"
"ZW10","Nucleus"
"TRIP6","Nucleus"
"MT3","Nucleus"
"TFAP2C","Nucleus"
"SULT2B1","Nucleus"
"EPS8L1","Nucleus"
"REM1","Nucleus"
"PDRG1","Nucleus"
"PPP1R13B","Nucleus"
"TGM6","Nucleus"
